id,requirement,verificationStage,evidence,remainingForRealSystem,hardwareVerified
COL-13,時計異常時に新規指令を止め局所計算を継続,SIM_TESTED,test_core.ColonyContractTests.test_clock_rollback_locally_curtails_and_revokes_authority; test_core.ColonyContractTests.test_nonfinite_clock_preserves_local_priority_and_latches_untrusted,時刻再認定手順、独立時計、実時間期限,False
COL-14,応答喪失後に再起動しても結果照合を優先,SIM_TESTED,test_core.ColonyContractTests.test_lost_receipt_restart_reconciles_without_resend,実トランスポート・機器receiptの照合,False
COL-15,送信claim後の停止を結果不明として保持,SIM_TESTED,test_core.ColonyContractTests.test_presend_durable_claim_crash_stays_unknown_with_no_resend,物理作用の有無を読出せない機器の現地手順,False
COL-16,未送信の承認を再起動後に自動実行しない,SIM_TESTED,test_core.ColonyContractTests.test_restart_cancels_prepared_and_queued,実OS仕事との状態連携,False
COL-17,模擬設定とreceiptを一括保存する,SIM_TESTED,test_core.ColonyContractTests.test_receipt_insert_failure_rolls_back_desired_state_and_revision,物理作用との非原子的境界、全損/破損/停電,False
COL-18,対象・モード・型が違う命令を拒否,SIM_TESTED,test_core.ColonyContractTests.test_authenticated_wrong_domain_mode_or_source_rejected; test_core.ColonyContractTests.test_critical_equipment_operation_cannot_be_expressed; test_core.ColonyContractTests.test_extra_envelope_fields_and_digest_mismatch_fail_closed,全設備操作を有限の型で登録し境界試験,False
COL-19,異なる/壊れた結果を成功と扱わない,SIM_TESTED,test_core.ColonyContractTests.test_wrong_receipt_cannot_be_marked_succeeded; test_contract_edges.ReceiptEdgeTests.test_non_json_receipt_leaves_result_uncertain,機器身元認証、返却結果の完全な契約検証,False
COL-20,設定反映と観測された動作を区別,SIM_TESTED,test_core.ColonyContractTests.test_explicit_prepare_exact_approve_dispatch_and_local_step,実機結果・監視観測と仕事合格の接続,False
COL-21,3種のJSON Schemaを厳格に定義する,DESIGN_ONLY,contracts/static_validation.json,標準validatorはNOT_RUN。実行時の全schema適合検証を追加,False
COL-22,独立保護と局所操作をCore/UI/WANから分離,DESIGN_ONLY,habitat_architecture.md:H-V01-H-V12,故障原因分析、実配線・電源・保護・警報の試験,False
COL-23,人数と環境に基づく資源容量を持つ,OPEN,,ミッション入力、空気/水/電力/熱/廃棄物の量と故障予備,False
COL-24,更新・復元で旧設備権限を復活させない,DESIGN_ONLY,os_inventory.md,既存基盤の統合、機器署名更新、中断/全損復旧,False
COL-25,キュー・記録・監査に上限と優先度を持つ,DESIGN_ONLY,,容量測定、満杯・破損・遅延・長期断線試験,False
COL-26,個人データと設備操作の権限を分離,DESIGN_ONLY,,本物の認証/認可、鍵基盤、保存・失効・監査,False
COL-27,貨物を検収後だけ使用可能在庫に加える,DESIGN_ONLY,,Manifest実装、物理ID、検収・隔離・commissioning試験,False
COL-28,ロケット→貨物船→拠点の引渡しを分ける,DESIGN_ONLY,,ミッション軌道、貨物船、係留、位置/速度/荷重/熱ICD,False
COL-29,rocketstarの両段回収と再使用を成立させる,OPEN,baseline_reference.json,C3未確定項目、推進・構造・熱・帰還・整備と実飛行,False
COL-30,A-LINKの通信範囲と性能を実証する,OPEN,,RF予算、周波数/波形、地上局、見通し、相互接続、必要衛星数,False
COL-31,遅延リンクの転送と設備結果を分離,DESIGN_ONLY,sources.json:S6-S8,BPv7/BPSec/CCSDSプロフィール選定と適合/相互接続,False
COL-32,avokado E3を操作窓口として接続,DESIGN_ONLY,os_inventory.md,実Shell、Hub/Coreアダプター、認証、表示・欠測・回線切替試験,False
COL-33,ミッション未決定値を実定格として配布しない,DESIGN_ONLY,mission_profile.json,場所・人数・滞在・補給・退避・輸送拠点の決定,False
COL-34,実機の継続運転と有人移行条件を検証,OPEN,habitat_architecture.md:H-V12,応答・容量・保護・故障・保守・補給・避難・適合性評価,False
COL-35,既存RockstarOSの仕事と指令状態を整合,DESIGN_ONLY,os_inventory.md,sample専用template、UNCERTAIN中active、証拠の受入を統合,False
COL-36,無人小型衛星輸送と有人輸送を区別,DESIGN_ONLY,,有人機/避難機を別の要求・設計・検証へ分離,False
