ID,分野,項目,状態,必要成果物,現状,不足情報,検証方法,依存ID,製造承認
RDR-018,thermal,空力加熱・TPS材料・取付・機内熱,未確定,"空力/加熱データベース
TPS区画図・材料/厚み/取付図
継目/扉/エンジン周辺熱設計
機内熱制御/放熱/断熱設計",TPS2.5tの配分や一般公開材料性能だけでは面積・厚み・接着/取付寿命が成立しない。,飛行荷重/熱履歴、空力形状、材料/取付許容値、機内温度限界、欠損/修理条件,"空力/加熱試験と熱解析相関
材料/接合/区画の繰返し加熱試験
熱構造結合検証","RDR-004,RDR-005,RDR-007,RDR-008,RDR-010,RDR-017,RDR-024,RDR-026",False
RDR-019,thermal,軌道離脱前のTPS損傷評価,未確定,"損傷検出方式/検出限界仕様
離脱前健全性判定設計
検出不能損傷の扱い",温度正常・地上検査済みだけで上昇後のTPS無損傷と判定しない。,観測範囲、画像/計測方式、最小危険損傷、検出確率、照明/姿勢、通信/電力,"模擬損傷による検出能力試験
視野/死角/誤検出評価
離脱判断との統合試験","RDR-018,RDR-020,RDR-024,RDR-026,RDR-028",False
RDR-020,GNC,航法・操舵の機能構成,方式選定,"航法/操舵ブロック図
センサー/アクチュエーター機能分担図",機能方式のみ選定。センサー型番・機数・装着位置・周期は未固定。,飛行段階ごとの観測/操舵要求、環境、単一/共通故障条件,"可観測性/操舵権限の方式レビュー
状態遷移との接口確認","RDR-003,RDR-005,RDR-017",False
RDR-021,GNC,座標・時刻・航法誤差・センサー仕様,未確定,"座標/時刻/原点定義
センサー選定・配置・校正仕様
推定器要求と誤差予算",センサーを複数置いたことだけでは独立冗長性の証明にならない。,実センサー雑音/バイアス/遅延、装着誤差、時刻同期、GNSS利用不能条件、甲板計測,"校正/誤差伝播解析
センサー記録再生/故障注入
HIL/飛行計測照合","RDR-007,RDR-020,RDR-024,RDR-025,RDR-029",False
RDR-022,GNC,飛行制御・姿勢遷移・着陸設計,未確定,"制御則/モード遷移要求
検証済み機体/液体/操舵モデル
ゲイン/制約/飛行データの管理仕様
全包絡の安定性/到達性証拠",実行可能な飛行コードや制御数値は現状の一般論から確定できない。,空力/柔軟性/スロッシング/推力応答、航法誤差、風/海況、飽和、故障包絡,"3DOFから校正済み6DOFへの段階解析
SIL/HIL/アクチュエーター結合試験
反復飛行でモデル更新","RDR-004,RDR-005,RDR-010,RDR-012,RDR-014,RDR-016,RDR-018,RDR-021,RDR-028",False
RDR-023,GNC,独立飛行安全機能と故障評価,未確定,"飛行安全要求/独立性図
危険分析/FMEA/共通原因分析
飛行可能域/安全区域仕様
追跡/判断/指令系設計",独立した機能を設ける方針はあるが、射場適合や飛行安全認定は未取得。,運用国/射場、人口/航空海上制約、故障包絡、追跡性能、適用規則、責任主体,"独立性/共通原因審査
故障注入・追跡試験
射場/運用当局との適合審査","RDR-002,RDR-005,RDR-021,RDR-024,RDR-025,RDR-028,RDR-040",False
RDR-024,electrical,回路図・電源配分・電子機器BOM,未確定,"電源単線図/回路図
基板設計・部品BOM
保護/遮断/冗長性/接地設計
電力・ピーク負荷台帳",回路、定格、部品型番を無根拠に決めない。安全系の独立性を配電まで追跡する。,機器負荷、バス要求、温度/放射線/振動、故障隔離、調達データ、帰還待機時間,"回路設計審査
電源/過渡/故障隔離試験
環境試験と部品ディレーティング確認","RDR-004,RDR-007,RDR-014,RDR-019,RDR-020,RDR-026,RDR-028",False
RDR-025,electrical,ハーネス・端子・EMC・接地,未確定,"配線図/ピン定義/ハーネスBOM
配索/固定/分離面接口図
EMC/接地/雷・静電気対策仕様",図面がない段階で電気接口を接続可能とは判定しない。,機器配置、信号/電流/周波数、電源冗長性、熱変形、分離界面、地上環境,"導通/絶縁/ピン照合
EMC/相互干渉/環境試験
分離前後の接口確認","RDR-007,RDR-011,RDR-021,RDR-023,RDR-024,RDR-033",False
RDR-026,electrical,帰還・待機・安全化までの蓄電,未確定,"飛行段階別電力/エネルギー予算
電池選定/取付/熱管理/保護仕様
劣化/低温/待機延長試験",軌道待機の長さを決めずに容量確定はできない。端末側DC80W/116Wは機体電力と無関係。,実機負荷、待機最大時間、ピーク、効率、電池特性、温度、寿命,"最悪エネルギー収支
実負荷・温度・劣化条件の放電試験
安全化までの連続運転","RDR-002,RDR-005,RDR-018,RDR-024,RDR-028,RDR-031",False
RDR-027,software,飛行ソフト・端末通信の権限分離,方式選定,"ソフト機能/権限アーキテクチャ
機上状態遷移要求
更新/認証/ログ設計方針",決定経路の分離を継承する。A-LINK実装や端末試験をロケット飛行ソフトの完成証拠へ転用しない。,機上/地上/端末の信頼境界、機能配分、故障時の権限,"権限/データフロー審査
通信断・不正入力・更新失敗の設計レビュー","RDR-001,RDR-003,RDR-020",False
RDR-028,software,飛行ソフト実装・ビルド・検証,未確定,"ソフト要求と設計記述
ソース/再現ビルド/構成パラメーター管理
単体/統合/SIL/HIL検証記録
時刻/周期/資源/故障応答証拠",飛行ソフト、実計算機、認定試験結果は参照資料にない。,要求/機器接口/リアルタイム制約、計算機、危険度分類、制御モデル、独立検証方針,"要求から試験への追跡
再現ビルド/静的解析/境界・故障注入
実計算機で期限/異常応答の確認","RDR-020,RDR-021,RDR-022,RDR-023,RDR-024,RDR-027,RDR-038",False
RDR-029,ground,回収方式と運用場所の境界,方式選定,"B1洋上/S2指定回収場の運用構成
発射/回収窓の定義
代替回収/中止方針",第1段downrange海上/上段指定地上場への垂直着陸方式を採用。実際の場所・設備・気象運用限界は未選定。発射国/場所はユーザー回答待ちで、発射場帰還を標準性能に含めない。,射場/船舶/上段回収場の候補、地理、気象/海況、回収窓、第三者制約,"場所と軌道到達性の照合
運用概念レビュー
不使用条件の評価","RDR-001,RDR-002,RDR-005",False
RDR-030,ground,発射・整備・充填設備の詳細設計,未確定,"地上配置/設備組立図
支持/固定/アンビリカル図
供給/排出/計測/インターロック仕様
地上機器BOM",機体支持荷重と流体/電気接口が未確定のため地上設備の製造承認はできない。,サイト条件、機体荷重/接口、推進剤供給、要員動線、適用規則、緊急時条件,"設備設計審査
地上受入/接続/故障注入試験
機体統合リハーサル","RDR-007,RDR-010,RDR-013,RDR-015,RDR-024,RDR-025,RDR-033,RDR-040",False
RDR-031,ground,回収設備・安全化・固定・輸送,未確定,"海上甲板/固定機構/上段着陸場の要求図
安全化状態定義と手順
回収輸送架台図
接近/吊上げ/塩害対策",着陸しただけでは回収員が接近可能とは判定しない。,実回収場所、甲板動揺、風/塩分、残留圧力/温度/電源、機体支持点、輸送経路,"安全化機能/遠隔状態確認試験
荷重/固定/輸送評価
代表機体での回収訓練","RDR-009,RDR-012,RDR-015,RDR-023,RDR-024,RDR-026,RDR-029,RDR-035,RDR-040",False
RDR-032,payload,衛星質量・包絡・分離条件,解析仮定,"ペイロード要求書
質量/重心/包絡/環境表
衛星放出・位相分離条件",B-H1の機能配置はD07で方式選定済み。ただし本項目の500kg×2・包絡・分離条件は引き続き計算仮定であり確定性能ではない。2機から常時通信を保証せず、別軌道面配置能力を現予算に含めない。,最新衛星設計の質量/寸法/環境/投入条件、分離機構、位相分離方法,"衛星/上段インターフェースレビュー
包絡/荷重/衝突回避解析
代表衛星による分離試験","RDR-002,RDR-004,RDR-007,RDR-011",False
RDR-033,payload,機体・衛星・地上・端末のICD,未確定,"IF-01〜06の値入りICD
座標/時刻/電気/流体/機械接口一覧
衛星通信と飛行通信の独立境界",ロケット/衛星の機械・電気接口と端末通信接口を別管理。D07のB-H1配置、D08のE3 4塔＋Hubへ同期する。9704別筐体はIridium実証系であり、自前A-LINKへの直接接続実証ではない。旧198mm一体箱/80Wを流用しない。数値入りICDは未確定。,機体/衛星/地上の確定接口、E3の最新承認状況、通信方式/機器/地上網契約,"相互署名された接口版照合
寸法/ピン/時刻/データの適合検査
エンドツーエンド通信と権限分離試験","RDR-006,RDR-007,RDR-011,RDR-021,RDR-024,RDR-025,RDR-027,RDR-030,RDR-032",False
RDR-034,reuse,機番・部品・履歴の追跡要求,要求固定,"構成/機番/シリアル台帳の仕様
飛行/検査/交換/修理記録の必須項目
履歴欠損時の再飛行保留ルール",再使用の証拠を追えることを設計要求として固定する。台帳へ実績が登録された意味ではない。,製品構成識別、寿命管理単位、記録保管/変更権限、検査/修理コード,"記録仕様レビュー
構成監査と欠落/誤版/交換部品の追跡試験","RDR-001,RDR-003",False
RDR-035,reuse,回収検査・非破壊検査・修理判定,未確定,"部位別検査図/手順
検出能力/欠陥許容値
修理/交換/再試験仕様
検査員/機器校正条件",検査で見えない損傷を無損傷と解釈しない。材料と構造に対応する許容値は未選定。,危険欠陥寸法、材料/接合/寿命モデル、検査アクセス、検出能力、修理後許容値,"人工欠陥/代表損傷で検出能力を実証
繰返し荷重/熱後検査
修理後機能・強度確認","RDR-008,RDR-009,RDR-010,RDR-012,RDR-014,RDR-018,RDR-019,RDR-034",False
RDR-036,reuse,寿命・交換周期・整備日数,解析仮定,"機体/部品寿命割当
損傷蓄積/退役基準
交換部品一覧
整備工数/日数の測定計画",回数/日数を保証値にしない。燃焼・始動・圧力・熱・着陸サイクルを個別管理する。,繰返し試験結果、実回収損傷、部品交換基準、整備資源/工数,"寿命試験・分解検査・故障統計
同一機番の反復飛行
実整備工数測定","RDR-001,RDR-008,RDR-009,RDR-012,RDR-014,RDR-018,RDR-034,RDR-035",False
RDR-037,reuse,再飛行許可と両段再使用実証,未確定,"機番別再飛行判定書
構成/寿命/修理/試験証拠パッケージ
同一両段の再飛行・再回収記録",回収・再飛行・再回収の物理証拠0件。接続ソフトの合格数は加算しない。,全必須検査合格、寿命残余、修理/交換履歴、構成適合、実飛行データ、許可責任者,"独立した再飛行審査
両段の機番連続性確認
再飛行・再回収の実演","RDR-001,RDR-005,RDR-023,RDR-028,RDR-031,RDR-034,RDR-035,RDR-036,RDR-038,RDR-040",False
RDR-038,verification,検証マトリクス・試験設備・認定計画,未確定,"要求→検証→合否→証拠のマトリクス
試験品/設備/計測/誤差管理
G0〜G6の入口/出口基準
不適合・再試験台帳",試験計画の存在と試験合格を別扱いにする。NASA一般手法は本機の認証証拠ではない。,各要求の合否値、試験対象版、設備/測定精度、解析適用範囲、責任者、受入権限,"要求/証拠追跡監査
試験準備審査
実施結果・逸脱・未実施を版固定して記録","RDR-001,RDR-002,RDR-004,RDR-006,RDR-034",False
RDR-039,manufacturing,部品BOM・調達・製造工程・品質記録,未確定,"設計/製造BOM
部品・材料の調達仕様と受入基準
製造工程票/組立指示/清浄度管理
初品/受入検査と不適合処置",概念図を製造図として扱わず、任意部品型番・圧力・溶接値で空欄を埋めない。,承認図面、材料/部品供給元、代替管理、工程能力、工具/校正、清浄度、検査基準,"初品/受入検査
工程認定・材料/部品ロット追跡
図面/BOM/実機の一致監査","RDR-006,RDR-007,RDR-008,RDR-009,RDR-011,RDR-012,RDR-014,RDR-015,RDR-018,RDR-024,RDR-025,RDR-035",False
RDR-040,ground,運用適合・飛行/再突入/射場リリース,未確定,"適用国/規則/射場要求の一覧
運用・教育・整備文書
発射/再突入/回収の準備審査証拠
承認・制限・例外台帳",本台帳は製造/発射/再突入/運用の承認ではない。適用要求と審査主体の確定後に許可証拠を追跡する。,運用国、事業/製造/射場責任主体、ミッション、環境/第三者影響、教育/保守体制、正式審査要求,"要求適合レビュー
運用リハーサル
発射/再突入/回収の準備審査と許可書照合","RDR-002,RDR-005,RDR-023,RDR-029,RDR-030,RDR-031,RDR-037,RDR-038",False
