要求ID,章ID,要求,検証段階,今回までの部分証拠,残る受入,実機合格
OSR-042,flight-01,cFS/RTEMS評価構成を版・CPU/BSP単位で固定する,V4,一次資料確認のみ,互換build・driver・実機受入,いいえ
OSR-043,flight-02,cFE/OSAL/PSP/BSPとmission appの責任を分ける,V4,設計のみ,message辞書・境界・依存試験,いいえ
OSR-044,flight-02,A-LINK管理系と通信ペイロードを分離する,"V3,V4",既存透過中継案読取,帯域・電源・熱・fault伝播試験,いいえ
OSR-045,flight-03,周期・締切・WCET・待ち・割込みを計上する,V4,計算方法の設計,機体応答から期限導出・対象CPU解析,いいえ
OSR-046,flight-03,CPU/RAM/stack/queueを故障時まで予算化する,V4,設計のみ,ピーク・欠測・burst・stack測定,いいえ
OSR-047,flight-04,局所missionの起動・遷移・復旧条件を値入り定義する,"V3,V4",モード骨格のみ,飛行phase別表・禁止条件・HIL,いいえ
OSR-048,flight-04,機上healthを独立保護の証明にしない,"V3,V4",一次資料と設計,共通電源/時計/CPU障害の解析,いいえ
OSR-049,flight-05,生命維持の制御と保護を現地に置く,"V3,V4,V5",旧電力模型の限定例,空気・水・熱・電力の機器受入,いいえ
OSR-050,mission_modes,Coreと設備と通信のモードを区別する,"V1,V3",設計のみ,状態遷移表と誤表示・再開検査,いいえ
OSR-051,mission_modes,epoch更新と旧holder排除後に監督権を移す,"V2,V3",旧模型のepoch検査,分断・旧機復活・別機実証,いいえ
OSR-052,avokado,欠測・採取時刻・実測分類と希望/観測を表示する,"V1,V3",操作設計のみ,現地利用者の表示・誤解防止受入,いいえ
OSR-053,avokado,MIC OFF/所有者変更でbufferと入力ticketを失効する,"V2,V3",既存E3仕様読取,実Hubのprivacy/停止/再起動検証,いいえ
OSR-054,avokado,AIの文書入力で権限を増やさず秘密を渡さない,V2,設計のみ,悪意文書・tool結果・鍵アクセス拒否,いいえ
OSR-055,logistics,貨物検収と設備稼働を別状態で証拠に結ぶ,"V1,V3",cargo構造拒否例,計量・封印・受渡し・commissioning,いいえ
OSR-056,logistics,各個体の再使用履歴と検査判定を保持する,"V1,V5",rocketstar C3方針,実機荷重・熱・修理・再飛行判定,いいえ
OSR-057,faults,機器別に異常応答と再開条件を定める,"V3,V4,V5",11異常の設計表,故障期限・連鎖・復旧回数の試験,いいえ
OSR-058,verification,実装・模型・物理試験の証拠を同じ版へ追跡する,"V0,V1",43契約/DDLと旧35を別管理,構成別evidence registryの統合,いいえ
OSR-059,migration,release manifestで版・互換・試験・復旧を確認する,"V1,V4",release構造例,署名・実image・data移行の受入,いいえ
OSR-060,open_inputs,未入力の実機条件で運用を解放しない,"V1,V4,V5",openInputsのnullを保存,値入りミッション/機器profileの認定,いいえ
